MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
5,2,6,4,5,3,7,3,5,4,9,4,8,5,1,7,3,3,4,6,0.20288188884039215
5,6,2,5,2,11,2,4,6,4,3,1,6,1,8,8,4,9,4,6,0.373422913197656
7,9,8,8,7,2,2,5,8,7,6,4,11,7,4,2,6,3,3,1,0.3811527473776157
5,8,8,9,8,5,6,3,4,4,6,5,4,4,9,5,10,8,4,6,0.3153170420298295
3,6,8,5,6,5,7,6,2,3,6,6,6,2,3,6,2,8,4,5,0.17727956207567358
6,11,4,1,5,6,4,2,1,1,6,3,6,6,5,6,5,9,2,7,0.177587712231928
2,1,7,4,7,3,6,4,3,2,7,7,4,8,3,5,9,5,6,4,0.1704667475885734
9,4,2,6,4,5,8,6,5,5,4,2,6,3,5,1,6,1,2,5,0.5019281325998803
2,5,5,1,5,7,4,7,9,5,6,5,2,5,4,3,6,5,2,6,0.16985953219424488
6,10,4,9,5,2,4,3,7,3,7,4,5,4,8,6,6,4,5,8,0.4400734229498101
7,2,3,2,3,5,5,6,5,6,5,5,2,4,2,5,3,10,9,8,0.16038182083675512
8,8,9,4,5,5,4,9,7,2,9,3,8,3,4,3,3,8,6,1,0.2563913870655351
6,11,5,7,3,6,9,5,6,7,3,7,4,4,4,4,6,4,8,6,0.2963632669324075
2,4,6,5,4,6,5,6,4,8,7,2,4,5,2,6,5,5,0,8,0.2086995145873165
3,6,7,5,1,6,7,4,2,4,6,3,7,4,4,4,1,5,4,3,0.2032128978023433
4,6,4,8,7,4,4,8,2,7,5,5,3,8,7,8,2,6,2,3,0.41034217165305936
4,7,8,2,2,9,6,3,4,3,3,8,3,4,6,6,9,1,9,6,0.12602020081149024
3,7,8,7,1,1,7,5,7,4,3,6,6,3,9,4,7,6,13,6,0.2250687369775884
11,4,4,7,5,9,8,5,4,4,8,3,6,4,4,5,3,3,4,10,0.6190384942606023
4,6,4,5,7,9,8,3,6,4,2,7,5,5,6,7,6,6,7,5,0.19981669561446563
5,3,1,3,7,4,5,5,3,4,9,9,4,9,1,8,7,6,5,3,0.25667747435724503
4,4,4,6,7,5,8,6,7,9,8,11,7,6,9,4,6,4,6,6,0.3096911658697251
4,4,3,5,9,10,2,4,7,6,9,8,6,5,5,2,6,4,7,3,0.3384539605318805
3,5,5,3,5,3,5,5,3,6,3,5,4,5,3,5,4,4,5,4,0.1449814930532377
9,6,6,7,8,10,7,5,6,5,4,4,6,7,5,6,5,5,3,5,0.3472041224341548
2,6,3,2,0,3,6,2,3,5,8,5,3,7,8,5,3,2,12,7,0.17071590960333377
2,4,6,3,7,5,5,2,3,9,3,3,8,3,3,6,6,7,3,6,0.239715139136001
3,9,3,6,1,6,2,3,3,8,3,4,4,3,8,5,5,6,3,5,0.3523256599389474
3,7,10,5,4,3,4,5,7,3,6,3,2,6,2,4,6,5,6,3,0.11495714604739017
5,3,6,4,5,3,6,5,4,4,3,8,6,6,6,7,3,4,7,4,0.24041379429179488
12,6,5,4,3,7,8,8,4,4,4,4,3,5,7,4,3,4,9,5,0.52304585207376
6,6,1,7,5,6,6,8,5,8,8,8,5,5,6,4,4,6,12,6,0.47425377102827065
4,4,5,7,6,3,6,6,5,6,6,4,3,7,5,7,5,5,3,3,0.29118333237278077
1,5,11,3,5,4,3,7,10,9,4,5,9,4,4,2,6,11,4,2,0.1282150304393976
3,6,5,3,3,5,6,7,4,10,5,10,7,7,2,4,6,10,3,7,0.22161057262107858
5,7,10,4,7,6,3,8,4,6,5,6,4,6,3,3,2,2,3,3,0.04625572486440477
4,6,6,0,4,7,3,8,3,4,2,8,3,6,6,7,5,10,11,6,0.1267294326324779
5,10,3,7,9,9,5,6,4,6,3,6,6,9,4,7,6,2,5,4,0.2710353702188313
4,3,7,6,4,5,5,2,2,2,5,7,5,3,6,5,4,6,7,8,0.17194399950812345
4,2,5,1,3,6,7,8,3,5,4,2,2,6,3,4,5,4,8,2,0.24299615723232754
6,6,6,4,5,6,3,7,6,4,4,3,4,3,5,6,5,5,4,1,0.24655925180159033
2,2,5,5,3,3,1,7,2,5,7,5,9,5,9,8,11,8,7,6,0.2369157930492462
2,5,5,4,6,10,1,4,3,3,2,5,3,8,6,6,5,4,7,4,0.1741405286858107
7,4,4,6,7,7,5,2,6,6,4,6,6,7,6,8,7,5,7,4,0.3391298322391262
6,7,5,1,6,5,2,3,9,7,6,4,7,5,5,5,4,6,3,6,0.17560977676624923
3,7,6,4,3,8,2,4,7,5,8,7,3,3,6,5,5,3,2,5,0.1837076521624425
5,3,1,3,6,5,3,3,4,7,7,5,9,1,2,7,6,8,5,5,0.28666465751226744
6,7,8,2,7,6,6,3,5,4,1,6,8,9,5,6,4,4,4,7,0.08927523775891644
6,4,6,5,6,4,7,2,8,4,8,6,6,4,6,5,7,3,4,8,0.1637489444907973
6,9,4,4,2,4,1,6,9,3,4,5,5,3,4,5,2,5,4,5,0.2675529652284682
3,4,9,8,6,6,9,5,10,1,8,2,2,7,6,4,6,3,6,4,0.19820824945383764
12,5,6,3,3,7,3,3,6,4,7,5,7,8,3,2,4,8,7,8,0.4920429923685118
6,9,5,9,4,7,4,5,5,7,3,7,7,6,4,4,1,4,8,8,0.33927371719745014
6,4,6,2,5,9,9,4,5,3,3,5,5,11,3,2,4,6,4,7,0.2152052606791295
4,5,4,8,3,6,3,3,5,5,8,6,5,6,6,6,5,8,2,4,0.32735069822708085
5,6,10,6,3,5,3,4,8,10,6,8,5,5,7,9,6,9,3,4,0.16692966857965383
8,5,5,6,4,3,3,6,7,6,1,10,4,2,5,1,6,9,1,2,0.25571145154943836
2,6,4,2,3,6,6,2,6,5,3,5,5,6,2,3,8,9,4,8,0.16347214346899927
9,7,4,8,3,7,5,5,1,9,3,5,6,4,7,4,6,3,8,6,0.4470647241219498
6,7,9,3,6,2,4,3,1,4,4,2,10,2,10,2,3,9,4,12,0.12590683469466443
3,2,1,2,5,6,5,0,2,4,3,6,4,2,4,7,3,4,5,3,0.31969757124271136
3,3,1,8,3,4,7,9,4,6,4,3,6,6,3,2,6,0,9,7,0.5265502422985393
5,3,7,7,4,4,4,3,10,11,2,6,4,4,8,5,9,6,8,4,0.21720523901107322
2,6,6,3,4,1,6,6,5,4,4,2,5,3,3,4,5,4,7,5,0.1543429674993555
9,6,8,8,8,6,4,3,6,4,7,4,10,4,4,10,8,5,4,6,0.3905798899115225
2,6,7,5,6,9,10,7,4,5,5,4,1,2,8,4,4,3,3,6,0.3078636037203205
2,4,11,4,4,7,6,5,5,3,4,4,2,1,8,7,6,4,4,4,0.13842176383157306
9,6,10,5,4,3,3,5,2,10,4,3,5,9,5,11,4,5,3,3,0.2742638012449441
6,6,4,5,8,5,5,7,8,6,5,10,4,4,9,4,6,5,2,4,0.24420344668800195
6,5,4,2,6,6,7,3,7,3,1,2,5,4,5,6,11,5,8,0,0.2662105019103265
7,1,5,4,5,3,2,3,5,3,11,6,0,7,4,5,4,8,4,2,0.2266732164883042
2,4,5,7,3,5,3,4,4,7,5,2,2,3,6,4,9,6,7,2,0.46583769467099034
7,5,4,2,5,7,6,7,2,3,4,3,3,4,4,9,9,3,6,2,0.29747230915397077
5,7,6,6,4,5,5,3,7,3,6,5,2,6,9,5,2,6,10,10,0.23890032517688342
9,7,2,2,2,1,4,8,10,4,7,7,4,4,5,7,6,4,7,4,0.2648881879388107
3,2,4,12,5,5,3,7,4,3,8,1,8,4,4,4,8,6,3,8,0.4407068183591803
7,4,11,4,8,3,8,4,4,5,6,5,3,4,4,6,2,4,2,9,0.16738874011904434
7,2,6,8,4,2,9,4,6,4,3,2,4,13,8,6,5,8,7,4,0.35980105791569233
5,2,3,7,7,6,9,3,4,6,5,10,8,5,5,9,6,6,2,5,0.28263567222634123
6,5,5,3,6,8,4,6,2,7,3,11,4,3,7,7,5,5,5,10,0.15382352768023327
6,4,5,8,6,2,0,4,3,6,0,6,5,4,6,7,5,4,4,7,0.3503713625947961
5,5,2,6,6,5,6,6,8,6,5,5,4,4,3,3,3,3,6,2,0.34242918488823987
5,6,7,5,4,3,4,8,4,5,5,3,3,4,5,5,6,4,3,5,0.24310996620313963
5,8,8,7,6,5,7,10,4,2,5,5,6,5,3,0,3,7,5,2,0.2539669198638885
6,8,10,3,6,7,9,3,8,2,9,4,4,2,5,10,4,3,3,3,0.1573360423616138
5,4,8,3,3,4,5,8,8,8,5,3,7,4,3,8,4,6,9,5,0.1207467408696585
10,7,5,3,4,8,6,2,6,4,3,8,3,9,4,10,4,4,5,10,0.36851519628812063
2,5,7,5,4,3,2,1,3,5,4,6,6,3,4,6,2,4,3,8,0.06820272674608999
2,6,2,5,0,4,4,6,7,8,6,6,2,4,7,5,2,4,8,2,0.2874377630945593
4,12,7,8,4,9,2,6,4,4,5,2,10,4,8,7,3,6,5,5,0.3554528083279927
5,5,0,2,3,4,8,3,5,1,10,7,3,5,2,5,11,5,4,5,0.393661033366253
5,6,3,6,7,3,4,4,3,6,3,9,6,4,5,6,3,2,1,8,0.2298839187974262
4,4,0,8,8,5,10,2,3,6,5,10,3,6,8,8,3,4,5,6,0.5707699545551054
6,5,1,7,7,7,3,8,6,2,3,5,11,12,8,5,11,3,4,4,0.46207857183931084
4,11,3,2,3,5,6,4,7,13,8,4,7,7,8,7,5,6,3,7,0.3001375472638008
7,4,6,9,6,5,6,8,6,3,3,1,2,5,6,6,8,7,1,4,0.36757547807163815
5,2,5,3,5,7,5,2,7,4,5,5,2,4,3,5,3,4,7,9,0.19585662594516393
4,5,7,3,5,7,5,1,4,2,4,5,3,3,9,3,7,8,3,8,0.1312092593976066
1,4,5,4,0,2,5,8,3,2,8,4,4,3,5,11,6,5,8,6,0.31094968295471564
9,5,6,4,2,4,5,1,6,2,9,3,4,3,3,4,4,7,9,6,0.2899173480213704
6,5,7,9,1,4,6,5,6,4,3,7,3,2,2,5,1,2,1,5,0.3446598299076844
7,5,8,6,3,5,2,4,8,8,2,6,6,4,5,7,3,5,4,1,0.2531743793291969
4,3,5,4,4,4,3,6,5,11,4,3,3,4,4,8,4,7,4,4,0.31416077713816537
4,5,4,5,6,4,5,4,5,6,5,5,8,4,4,4,9,7,2,9,0.29943433936359865
3,6,5,7,1,3,8,5,9,8,5,5,7,2,3,3,8,5,6,3,0.31045649897219246
6,5,5,4,8,8,9,2,4,6,6,4,5,8,3,9,8,8,6,5,0.35000316412432003
8,5,6,4,7,2,4,6,4,9,3,13,5,3,10,9,3,5,4,8,0.2751543060696082
4,3,5,7,6,5,1,2,5,8,6,7,3,5,7,2,5,5,2,2,0.277516444825001
7,2,7,7,8,7,1,3,1,2,6,9,9,4,4,1,4,1,8,4,0.2557690723236753
4,6,4,0,7,6,9,10,4,4,9,6,3,3,2,5,3,3,8,7,0.06195587211449405
5,1,6,0,6,5,6,8,4,5,5,10,3,4,5,8,5,7,2,3,0.1555760995038852
4,5,6,5,1,6,4,10,4,2,3,9,5,4,5,4,1,4,2,5,0.22693693799084316
2,8,1,4,9,7,7,4,7,6,5,2,8,6,15,7,8,4,6,7,0.39714978861107975
6,6,4,5,8,3,4,5,13,4,2,3,4,5,8,6,6,5,6,4,0.2948507766865274
4,1,1,5,5,2,5,10,6,7,4,1,9,3,6,3,3,4,4,4,0.40951572625534194
3,7,8,3,1,3,3,5,4,6,9,8,4,8,4,1,5,5,6,2,0.13399870258108298
7,3,3,4,4,4,5,5,6,2,4,4,2,6,5,8,10,8,9,6,0.36703016396395294
6,5,2,4,3,7,4,5,2,6,4,8,9,5,8,5,7,4,8,3,0.3252376222067873
6,5,7,3,3,6,2,6,8,5,7,5,6,3,5,5,1,7,5,2,0.18259398817337835
4,5,4,2,9,6,5,6,5,10,4,4,3,5,14,7,4,1,6,4,0.28112967132355743
8,4,6,7,10,5,2,4,5,4,7,8,5,9,3,5,9,5,3,4,0.3636099386795859
7,6,3,6,9,3,4,11,5,3,3,9,5,5,5,1,5,8,5,6,0.31530934163507657
5,5,6,7,4,3,3,4,2,5,5,7,3,5,6,7,5,6,3,6,0.2798815788355109
2,5,6,11,6,8,4,7,6,5,5,0,2,9,7,4,4,8,2,7,0.5080794000698009
3,4,7,6,6,4,6,7,7,6,2,5,1,3,5,7,2,2,7,1,0.21990479200140386
5,5,8,5,7,4,4,4,5,4,3,11,5,4,4,9,6,2,7,5,0.2028263067231436
10,9,2,5,5,6,4,8,6,5,2,3,2,6,4,1,6,16,5,2,0.533811171144259
7,8,4,6,7,5,9,5,5,7,6,4,3,4,3,4,2,9,6,3,0.2904472879138133
3,6,6,6,1,10,2,3,5,10,4,4,4,8,7,4,7,6,2,3,0.3054016148319929
10,5,4,4,3,2,5,3,4,6,3,1,8,0,3,2,5,7,8,5,0.5100190526341544
7,7,5,6,3,5,5,3,7,8,0,5,4,5,4,4,7,3,6,3,0.32345714440453577
4,4,10,5,7,6,1,2,3,2,3,4,5,3,7,9,4,2,2,4,0.1508587061016047
6,8,7,6,5,8,11,5,5,6,5,2,5,5,5,4,6,6,9,3,0.25120223790143054
3,4,5,3,5,6,5,4,6,4,3,3,6,5,6,2,1,4,8,5,0.23048814157356268
6,3,1,2,5,4,3,9,8,3,3,2,5,3,3,5,1,4,5,6,0.34150237935807304
7,8,3,4,3,3,3,1,3,5,3,6,5,9,3,6,8,5,2,6,0.284266897251682
8,3,9,6,6,5,5,4,5,6,5,4,4,6,6,11,5,6,7,4,0.29095223561388645
8,8,6,3,4,10,3,9,2,7,4,5,5,4,7,6,5,6,7,2,0.23077869291106687
2,8,1,4,3,4,4,7,5,9,5,3,6,5,4,2,9,6,5,3,0.41278993176446455
8,4,6,5,4,8,6,5,4,7,3,4,5,8,2,5,3,8,2,6,0.2553622761573614
6,3,5,8,9,4,6,11,2,8,3,4,6,7,2,4,7,4,2,5,0.36488029529780064
3,5,2,3,3,4,3,3,5,5,5,4,5,6,6,0,8,7,4,1,0.32455172989004044
4,3,8,7,14,3,2,6,3,4,6,8,6,7,2,4,5,7,7,6,0.24999837024363777
4,5,1,7,8,4,5,8,3,3,6,8,6,5,6,2,4,4,8,5,0.4611517454937757
8,7,6,6,7,2,5,7,10,4,6,8,5,5,2,7,9,6,2,4,0.3550690958547189
4,2,5,6,7,3,4,2,5,3,4,3,6,6,5,2,6,6,4,9,0.2935408295718803
6,6,5,2,4,6,5,5,5,3,3,5,6,6,5,2,4,3,2,2,0.22016763303942857
5,4,4,2,4,4,1,6,5,2,7,4,6,2,4,2,2,1,5,6,0.23205790712962804
3,3,2,9,5,7,4,6,7,6,7,6,2,4,8,4,6,9,4,4,0.3758740711730199
5,6,5,9,5,3,1,7,4,6,5,7,4,7,6,5,7,2,4,5,0.29339359802472903
3,5,5,3,3,2,3,6,6,3,5,1,5,4,6,7,4,2,6,3,0.2006814573473606
5,6,6,9,7,4,2,6,5,4,9,2,5,4,5,5,11,7,6,4,0.3427582048528744
1,6,5,4,6,5,3,6,7,0,6,3,7,5,5,4,6,5,10,7,0.2523077841123393
6,3,4,3,5,6,6,3,3,3,9,8,6,11,4,7,5,5,6,1,0.17214609409001255
4,8,7,5,7,3,1,3,7,4,7,7,3,6,4,7,7,4,7,6,0.24460188722761847
7,8,5,7,2,3,3,4,3,6,8,8,7,4,3,4,4,7,2,2,0.2764459845023047
7,7,4,4,5,5,7,10,4,6,3,4,5,2,5,3,5,4,7,3,0.29330487256966997
1,5,4,5,3,4,1,3,5,6,5,3,6,3,5,2,4,4,3,4,0.3007703222977787
6,5,5,6,0,5,2,4,5,6,7,7,10,8,13,7,5,5,3,7,0.2515744084553253
5,5,8,7,4,7,5,7,9,5,3,7,4,6,5,6,3,7,7,6,0.20282721183509592
5,0,5,6,8,3,5,3,1,3,4,3,10,3,5,7,3,3,5,8,0.3521528067903686
3,7,4,5,2,4,4,13,6,5,5,3,5,7,3,5,6,1,4,5,0.3229941084267085
4,5,3,5,1,6,4,3,5,6,5,7,3,5,5,2,6,5,5,6,0.2991888825254838
4,4,7,11,6,5,7,8,3,5,3,8,10,9,8,1,0,8,6,8,0.4109423050523739
6,2,5,2,6,9,7,7,6,5,2,5,6,6,2,9,9,9,3,8,0.14175213304064577
3,4,4,8,7,4,6,5,4,2,4,7,5,3,8,3,4,3,4,6,0.3244247284994177
9,3,8,2,7,5,7,8,6,4,3,6,6,5,7,6,2,4,5,3,0.21500315495760972
1,3,3,3,2,10,6,3,4,3,6,6,8,6,5,9,2,3,4,4,0.27787260027239297
5,5,2,4,6,5,6,7,3,3,4,6,4,9,3,2,2,5,6,5,0.270475651291339
1,5,4,8,5,10,3,8,2,5,5,4,5,5,3,6,6,5,9,6,0.4197126727971592
3,3,0,4,7,7,4,5,5,5,3,3,5,3,1,7,3,8,4,3,0.45992353274428793
5,3,2,5,4,0,8,3,7,4,9,5,12,1,8,4,6,10,7,7,0.402618386207084
6,7,5,7,5,4,4,2,3,5,6,4,2,3,2,4,5,10,5,5,0.3472106020891387
5,4,4,7,10,6,2,5,3,6,4,2,2,6,3,3,3,6,4,5,0.359755619787433
7,3,5,5,6,6,3,6,5,6,10,7,3,5,6,4,5,9,5,1,0.28196852824107654
3,1,7,4,3,4,7,7,4,6,10,5,8,6,13,5,5,5,6,11,0.12826409663160765
5,4,4,5,8,2,5,8,4,5,6,4,5,3,2,7,7,9,6,5,0.3051590011341687
4,10,2,5,5,4,7,7,2,3,7,5,5,4,3,1,8,5,7,9,0.3029022936702997
8,5,5,1,10,5,4,3,6,7,9,10,4,4,4,5,10,11,4,6,0.16108630772984284
3,5,1,4,2,6,4,4,4,3,5,1,3,12,4,6,2,1,5,2,0.39001145126947534
1,6,4,9,7,3,4,5,5,1,7,7,6,6,3,3,4,2,7,7,0.39463504676803557
2,3,3,4,5,4,7,7,2,3,8,8,7,5,5,2,4,5,7,3,0.22812307316991198
6,5,4,7,5,8,3,9,8,7,4,7,9,3,7,4,2,5,6,5,0.4256970134949457
5,6,7,4,5,5,5,3,5,5,7,7,11,7,4,5,5,5,7,5,0.18693916980877506
6,5,8,9,6,6,2,10,1,4,5,3,6,4,5,4,5,7,5,4,0.4304794905008242
2,9,7,5,4,9,7,6,4,6,3,2,5,6,7,7,12,4,7,6,0.29599163169225395
5,6,4,2,6,6,8,4,8,6,12,8,4,5,6,7,6,3,7,10,0.25326000817595506
4,3,7,6,5,2,5,2,1,2,7,7,5,5,1,3,6,3,4,2,0.26131645778458873
5,4,9,7,5,4,6,6,4,4,8,9,3,3,6,7,2,4,6,2,0.2694094475186535
5,8,3,6,3,2,8,3,5,3,7,8,8,7,5,4,2,4,9,7,0.33300091225299994
3,5,4,7,7,2,3,5,9,3,4,7,5,3,5,1,4,3,3,2,0.3141839924948383
10,4,3,5,6,8,2,7,7,7,7,5,3,6,2,8,5,6,3,6,0.43847990577781837
10,8,7,3,6,4,3,4,6,5,9,7,4,2,3,3,2,5,5,4,0.3570729558841311
4,5,2,4,5,1,7,5,7,5,4,5,7,6,5,5,7,4,8,7,0.3614264529644457
8,6,7,2,3,4,5,4,4,6,4,4,6,13,4,8,2,1,7,6,0.18124171516966353
5,4,4,10,8,2,3,7,1,6,2,3,1,3,2,7,2,5,8,7,0.48033179172968504
5,2,4,6,5,8,5,3,7,4,7,7,7,8,5,2,4,1,1,6,0.2469055355747297
7,5,1,4,6,3,10,6,3,4,5,4,4,4,4,3,3,7,5,5,0.4010707857269974
8,5,4,7,5,5,5,4,9,5,8,1,7,9,4,2,6,5,8,6,0.4027186305129354
1,5,5,10,4,5,6,2,3,3,8,3,5,3,4,5,6,3,13,7,0.45073081000041393
5,7,3,4,10,3,4,5,5,6,3,4,4,6,5,8,5,4,10,4,0.3216991162563437
4,5,4,6,7,5,8,4,6,2,2,6,6,4,4,2,8,1,6,13,0.252330832649314
8,3,4,2,5,3,6,6,5,5,2,4,3,7,5,1,3,5,1,5,0.18678474310172213
9,3,6,9,4,6,11,7,6,3,3,10,3,7,4,3,9,2,3,5,0.3864832673930532
8,4,9,8,5,4,9,4,3,12,9,6,2,3,7,6,7,7,8,3,0.2670387793563491
0,4,3,2,9,3,5,7,4,10,7,6,5,3,4,4,5,9,6,6,0.19776819913256746
5,3,0,4,6,4,3,3,4,6,1,3,7,8,3,7,6,1,2,4,0.458992653963256
4,8,5,4,3,3,4,5,8,7,4,3,2,7,6,9,5,4,5,8,0.31456479471545556
5,2,9,3,8,7,4,2,1,6,6,6,6,8,7,5,6,5,3,6,0.13922694238816538
3,5,9,0,9,6,9,6,4,4,5,6,8,4,7,8,4,6,6,5,0.08776410976467071
3,3,4,5,6,7,5,2,7,6,3,3,3,7,2,3,5,5,7,4,0.3298446291977703
9,4,4,5,4,4,4,7,7,7,10,3,9,3,8,4,4,2,8,4,0.4619724545413499
4,2,5,1,3,3,3,11,1,4,7,3,5,2,0,4,2,5,6,5,0.25549918238658653
6,6,6,8,3,1,7,4,6,4,5,3,4,4,9,3,3,4,7,6,0.4452750031488433
6,7,4,6,4,6,6,4,4,7,4,5,1,6,3,7,2,6,5,3,0.2499712151516267
5,2,5,7,4,4,4,7,9,2,4,4,4,2,6,2,5,5,5,2,0.37494862975477494
4,3,1,4,6,2,4,3,6,4,1,5,4,2,6,7,9,4,6,2,0.3499229989349737
7,3,5,5,4,5,5,5,2,10,5,6,2,6,4,9,7,5,1,3,0.1326902849006913
4,9,6,2,5,6,3,5,0,2,4,5,7,4,6,4,9,3,8,4,0.14044269590477626
3,4,9,4,2,8,6,6,5,2,5,3,4,6,8,6,6,3,7,6,0.17574555131241346
6,4,10,7,9,5,4,8,6,3,4,3,4,6,4,7,9,3,3,5,0.22167200709308232
8,6,9,5,7,5,4,5,5,3,7,6,8,3,7,6,4,5,5,4,0.1941264463507807
3,2,5,5,7,6,6,4,8,9,7,6,2,4,6,5,7,3,3,2,0.22899155888471187
8,5,1,8,5,7,6,9,5,4,8,4,4,2,9,5,6,7,7,8,0.5747325854515734
10,2,8,3,4,6,7,6,2,7,7,6,7,4,6,8,4,3,6,6,0.33380544000146173
1,6,3,3,5,5,3,3,2,10,9,5,6,3,4,7,7,7,10,4,0.21092726374637505
5,4,8,5,6,3,12,9,5,4,4,4,7,11,4,2,6,7,3,5,0.2326968210986605
4,3,9,4,5,3,0,5,9,4,3,2,4,1,6,1,7,4,2,0,0.20056999838389708
5,5,3,6,3,4,3,5,3,8,5,7,3,6,2,7,8,6,5,4,0.34692055054051807
4,6,6,8,2,5,6,3,3,6,7,5,5,5,4,5,6,11,8,4,0.32059663040207603
7,7,2,5,8,3,5,6,3,4,6,4,5,3,1,4,2,2,5,7,0.3770080662033922
4,3,8,6,4,7,10,4,6,7,3,4,6,2,2,4,2,3,3,1,0.2934676478462493
3,5,5,3,2,6,5,7,3,5,2,1,4,3,6,5,9,10,4,3,0.20331152798952268
4,6,4,5,6,4,12,2,3,4,7,6,3,10,2,4,4,10,5,4,0.20970178423873553
7,5,5,3,7,4,3,8,7,5,4,11,5,5,5,3,7,4,6,6,0.11361836991785512
3,1,3,5,8,1,7,5,4,3,6,4,4,7,2,4,3,3,7,5,0.31888383465087966
8,1,5,7,11,3,6,6,3,6,3,6,5,4,7,4,3,4,5,7,0.3190023731133218
3,9,4,5,5,6,5,2,2,4,2,5,5,3,2,1,6,8,2,6,0.2685033632528474
3,6,6,8,3,7,7,3,5,5,4,10,5,6,8,7,7,3,5,5,0.3014541197354676
7,5,6,8,3,4,2,3,6,5,7,3,6,3,5,3,11,2,5,2,0.4097591117477563
1,3,5,4,10,5,5,5,3,7,10,4,4,3,4,4,3,6,5,7,0.18635307127696935
6,4,5,3,6,3,3,1,3,9,5,5,6,6,4,4,2,5,7,9,0.2064290976846122
6,8,3,7,4,8,2,4,3,4,4,5,5,4,3,3,6,6,5,6,0.3747658177889796
6,5,3,7,5,2,5,6,7,4,1,6,2,6,2,10,8,4,9,6,0.4090126205729647
5,6,4,5,2,5,2,5,4,6,12,2,8,10,3,11,4,5,4,5,0.3654752749593708
4,5,8,5,1,1,3,6,2,5,5,3,3,3,7,6,2,5,4,4,0.20474150038331432
2,7,7,8,2,7,5,12,5,9,1,4,5,4,2,6,5,6,4,4,0.34451077232442817
6,4,2,5,5,5,3,5,10,5,3,6,4,4,9,3,3,3,5,6,0.3282982041461884
7,4,2,3,5,7,1,2,7,7,9,7,5,8,8,7,6,2,7,6,0.24997789531983122
3,3,3,7,6,6,4,6,4,6,5,9,7,2,7,3,4,4,5,10,0.33167626167589237
6,3,3,7,4,6,2,5,5,3,5,5,4,3,2,4,5,4,9,4,0.3526569424278202
8,3,5,4,4,4,2,4,4,2,5,7,5,3,2,6,6,8,6,3,0.27275354045029393
3,7,5,3,5,7,1,6,5,8,9,7,6,6,1,1,7,5,4,6,0.20390094180069349
8,9,7,2,5,9,5,7,6,1,5,4,3,10,3,6,8,9,2,4,0.2728751015438995
6,2,6,2,3,6,1,6,5,6,5,3,3,4,8,6,3,8,4,6,0.1926623019570201
4,7,4,7,10,3,5,3,7,5,5,2,6,6,6,5,8,7,2,4,0.3358878386303851
9,1,4,4,4,4,4,5,4,6,10,1,2,2,5,3,5,5,4,8,0.3299984381120629
4,4,5,7,5,6,9,4,7,4,3,6,9,7,8,5,5,3,4,5,0.3025656708902714
7,5,1,3,2,2,6,8,5,3,10,5,3,6,2,3,3,8,3,3,0.33664623875983
5,3,5,7,3,4,10,1,4,6,5,4,5,2,7,4,5,4,2,3,0.26328250303354955
10,1,6,6,6,4,5,4,5,5,3,6,4,4,5,4,5,6,5,2,0.39912471366768015
